requisicaoN,tempoBanco,tempoHTTP
1,0.061801,0.368624
2,0.002970,0.242571
3,0.002015,0.251577
4,0.001328,0.241466
5,0.001164,0.250501
6,0.001241,0.266112
7,0.001254,0.252982
8,0.001255,0.267501
9,0.001281,0.255408
10,0.001210,0.411055
11,0.001241,0.266321
12,0.001184,0.253084
13,0.001140,0.251550
14,0.001172,0.287918
15,0.002091,0.247930
16,0.000962,0.274199
17,0.001061,0.243787
18,0.002244,0.247379
19,0.001140,0.245293
20,0.001045,0.242668
21,0.001256,0.247121
22,0.001152,0.258080
23,0.001137,0.256207
24,0.001102,0.269713
25,0.001164,0.245744
26,0.001158,0.275902
27,0.001192,0.254261
28,0.001186,0.761020
29,0.001345,0.251098
30,0.001213,0.248725
31,0.001304,0.261177
32,0.001208,0.244266
33,0.001198,0.253752
34,0.001238,0.276206
35,0.001168,0.251424
36,0.001186,0.254123
37,0.001223,0.245988
38,0.001300,0.267975
39,0.001236,0.246008
40,0.001170,0.240740
41,0.001205,0.345524
42,0.002561,0.240848
43,0.001824,0.269322
44,0.002061,0.248776
45,0.001094,0.283674
46,0.002725,0.288915
47,0.001094,0.256419
48,0.000977,0.259254
49,0.001214,0.247632
50,0.001164,0.242552
51,0.001083,0.248888
52,0.001115,0.244228
53,0.001050,0.256207
54,0.001193,0.251469
55,0.045758,0.330183
56,0.001208,0.247736
57,0.001182,0.242210
58,0.001161,0.245349
59,0.001369,0.280219
60,0.001321,0.284870
61,0.001154,0.251206
62,0.001139,0.256812
63,0.001144,0.335063
64,0.001131,0.247694
65,0.001025,0.267334
66,0.001088,0.240832
67,0.002712,0.269933
68,0.005721,0.249183
69,0.001443,0.244724
70,0.001423,0.246145
71,0.001893,0.255171
72,0.001162,0.280147
73,0.000997,0.254437
74,0.001157,0.264946
75,0.001132,0.244940
76,0.001163,0.245849
77,0.001194,0.248367
78,0.001167,0.248069
79,0.001167,0.243656
80,0.001226,0.283645
81,0.001144,0.247726
82,0.001406,0.273099
83,0.001179,0.248113
84,0.001168,0.251935
85,0.001147,0.271163
86,0.001314,0.240771
87,0.001147,0.250834
88,0.001181,0.243519
89,0.001157,0.245718
