requisicaoN,tempoBanco,tempoHTTP
1,0.001244,0.272826
2,0.001241,0.246154
3,0.001393,0.262910
4,0.001241,0.309064
5,0.001244,0.247473
6,0.002329,0.279038
7,0.001244,0.266855
8,0.003607,0.277328
9,0.001495,0.258834
10,0.001136,0.271421
11,0.001259,0.276709
12,0.002093,0.273066
13,0.001299,0.255886
14,0.001242,0.270421
15,0.001290,0.254320
16,0.001217,0.263902
17,0.001362,0.251296
18,0.001248,0.246675
19,0.001586,0.306140
20,0.001650,0.258037
21,0.001201,0.295904
22,0.005636,0.366143
23,0.001818,0.260766
24,0.001708,0.258343
25,0.001305,0.267910
26,0.001393,0.263205
27,0.001311,0.254324
28,0.001942,0.253791
29,0.001500,0.293243
30,0.001073,0.266110
31,0.001189,0.268082
32,0.001221,0.266830
33,0.001410,0.353153
34,0.001173,0.255725
35,0.001182,0.267062
36,0.007798,0.280202
37,0.001178,0.272596
38,0.001289,0.252144
39,0.001283,0.272553
40,0.001270,0.260078
41,0.001087,0.255821
42,0.001225,0.260936
43,0.001209,0.266547
44,0.001118,0.251455
45,0.001288,0.252231
46,0.001717,0.270233
47,0.001595,1.274558
48,0.001823,0.269780
49,0.001281,0.275488
50,0.001215,0.267262
51,0.001296,0.247558
52,0.001318,0.284098
53,0.002298,0.254055
54,0.001183,0.302554
55,0.001186,0.258661
56,0.001654,0.269392
57,0.001394,0.257098
58,0.001243,0.268549
59,0.003876,0.274936
60,0.010139,0.282895
61,0.004744,0.305993
62,0.003340,0.272445
63,0.001170,0.251202
64,0.001259,0.268411
65,0.001466,0.297967
66,0.001239,0.265806
67,0.001164,0.304598
68,0.001261,0.264868
69,0.001322,0.264933
70,0.001247,0.251904
71,0.001205,0.269246
72,0.001221,0.271077
73,0.001745,0.253766
74,0.001933,0.277953
75,0.001189,0.267544
76,0.001387,0.349465
77,0.001344,0.825548
78,0.002177,0.278110
79,0.001143,0.248022
80,0.001204,0.267629
81,0.001213,0.269007
82,0.001082,0.257081
83,0.001281,0.272469
84,0.001106,0.249643
85,0.001307,0.272621
86,0.001048,0.266666
87,0.001202,0.255522
88,0.001359,0.262413
89,0.001224,0.249055
90,0.001282,0.247539
