requisicaoN,tempoBanco,tempoHTTP
1,0.001439,0.296724
2,0.001368,0.276045
3,0.002368,0.298356
4,0.002611,0.282940
5,0.001167,0.275838
6,0.001379,0.255361
7,0.001297,0.273912
8,0.001097,0.267415
9,0.002031,0.277382
10,0.001438,0.279515
11,0.001503,0.275190
12,0.000964,0.325304
13,0.001114,0.323612
14,0.001093,0.324872
15,0.001221,0.304178
16,0.001088,0.358410
17,0.001130,0.304412
18,0.001265,0.261060
19,0.001030,0.278769
20,0.001115,0.297661
21,0.001158,0.385153
22,0.001242,0.270733
23,0.001177,0.257015
24,0.001243,0.259186
25,0.001314,0.271679
26,0.001255,0.254527
27,0.001444,0.294202
28,0.001367,0.253137
29,0.001469,0.270211
30,0.001041,0.278503
31,0.001369,0.270263
32,0.001868,0.265959
33,0.002180,0.274729
34,0.001382,0.272834
35,0.001028,0.271643
36,0.001083,0.282328
37,0.001305,0.273454
38,0.001181,0.258493
39,0.001338,0.275016
40,0.001396,0.263544
41,0.001482,0.266513
42,0.001001,0.262381
43,0.001370,0.251639
44,0.001175,0.267142
45,0.001992,0.261909
46,0.001207,0.255796
47,0.000956,0.272295
48,0.001572,0.255078
49,0.001080,0.276666
50,0.001157,0.279983
51,0.001070,0.267917
52,0.001046,0.257008
53,0.001146,0.263654
54,0.001158,0.248424
55,0.001434,0.255426
56,0.001189,0.264839
57,0.001438,0.266308
58,0.001210,0.251764
59,0.001263,0.260484
60,0.001251,0.281271
61,0.001142,0.276612
62,0.001486,0.269651
63,0.001213,0.279428
64,0.001034,0.270802
65,0.001108,0.279158
66,0.001101,0.279477
67,0.001274,0.265641
68,0.001310,0.274828
69,0.001231,0.259803
70,0.001175,0.250859
71,0.001127,0.274946
72,0.001200,0.253971
73,0.001160,0.352943
74,0.001032,0.264585
75,0.001198,0.274403
76,0.001168,0.263378
77,0.001091,0.278958
78,0.001152,0.262731
79,0.001117,0.267047
80,0.001192,0.269241
81,0.001359,0.268250
82,0.001110,0.250616
83,0.001080,0.291870
84,0.001120,0.251435
85,0.001137,0.268012
86,0.001166,0.250208
87,0.001217,0.274480
88,0.001168,0.253135
89,0.001266,0.265761
90,0.001094,0.262743
91,0.001415,0.276445
92,0.001154,0.273306
93,0.001086,0.262315
94,0.001196,0.251320
95,0.001206,0.274379
96,0.001076,0.271428
97,0.001138,0.255558
98,0.001239,0.261206
99,0.001498,0.276696
100,0.001324,0.269753
101,0.001266,0.271978
102,0.001006,0.272158
103,0.001177,0.273211
104,0.001135,0.282076
105,0.001343,0.278683
106,0.001213,0.270981
107,0.001352,0.339619
108,0.001357,0.279717
109,0.001172,0.261705
110,0.001239,0.255825
111,0.001185,0.272221
112,0.001177,0.248566
113,0.001362,0.269652
114,0.001195,0.254437
115,0.001276,0.269213
116,0.001146,0.259728
117,0.000912,0.278109
118,0.001108,0.259649
119,0.001052,0.275719
120,0.001008,0.266892
121,0.001193,0.268437
122,0.001411,0.270725
123,0.001274,0.271303
124,0.001200,0.270522
125,0.001125,0.342881
126,0.001167,0.272036
127,0.001161,0.265979
128,0.001134,0.252024
129,0.001110,0.270125
130,0.001748,0.279426
131,0.001145,0.276135
132,0.001276,0.272048
133,0.001061,0.268926
134,0.001019,0.274831
135,0.001197,0.255948
136,0.001101,0.345174
137,0.003770,0.283863
138,0.001023,0.281790
139,0.001329,0.261328
140,0.001258,0.249582
141,0.001054,0.258769
142,0.001395,0.269560
143,0.001324,0.277414
144,0.001322,0.259608
145,0.001265,0.273136
146,0.001292,0.251510
147,0.001116,0.249162
148,0.001704,0.262387
149,0.001240,0.267404
150,0.001358,0.257990
151,0.001381,0.252372
152,0.001272,0.352483
153,0.001369,0.254960
154,0.001283,0.275674
155,0.001207,0.277688
156,0.001273,0.278118
157,0.001246,0.258128
158,0.001241,0.270493
159,0.001122,0.270795
160,0.001164,0.259794
161,0.001066,0.255261
162,0.001141,0.256025
163,0.001214,0.254529
164,0.001110,0.259519
165,0.001227,0.278887
166,0.001439,0.273189
167,0.001107,0.277019
168,0.001206,0.270302
169,0.001116,0.256172
170,0.001129,0.271046
171,0.001197,0.270440
172,0.001237,0.273209
173,0.001395,0.280723
174,0.001329,0.256941
175,0.002006,0.257192
176,0.001256,0.272946
177,0.001093,0.280779
178,0.001190,0.271656
179,0.001199,0.272477
180,0.001144,0.250755
181,0.001194,0.268525
182,0.002653,0.260891
183,0.000940,0.270285
184,0.001017,0.274832
185,0.001121,0.262568
186,0.001119,0.272497
187,0.001031,0.272387
188,0.001242,0.276952
189,0.001029,0.286094
190,0.001275,0.280458
191,0.001173,0.256168
192,0.001078,0.267163
193,0.007181,0.262231
194,0.000976,0.278650
195,0.001210,0.257779
196,0.001046,0.269230
197,0.001173,0.252371
198,0.001273,0.255645
199,0.001164,0.270769
200,0.000996,0.253573
201,0.001136,0.350775
202,0.001147,0.273172
203,0.001079,0.249527
204,0.001151,0.355641
205,0.001113,0.260932
206,0.001174,0.265513
207,0.001087,0.279485
208,0.001317,0.262259
209,0.001236,0.253536
210,0.001281,0.270374
211,0.001267,0.264770
212,0.001296,0.278684
213,0.001530,0.272410
214,0.001247,0.274112
215,0.001222,0.267059
216,0.001306,0.274567
217,0.001125,0.265600
218,0.001265,0.255197
219,0.001333,0.252582
220,0.001748,0.271903
221,0.001188,0.264765
222,0.001221,0.258546
223,0.001080,0.280289
224,0.001257,0.270323
225,0.001310,0.274317
226,0.001199,0.269844
227,0.001458,0.349665
228,0.001169,0.282200
229,0.001227,0.260779
230,0.001426,0.293376
231,0.001054,0.278581
232,0.001100,0.277921
233,0.001310,0.261415
234,0.001165,0.266562
235,0.001159,0.256810
236,0.001594,0.267415
237,0.005717,0.273297
238,0.001073,0.281559
239,0.001073,0.252368
240,0.001031,0.251855
241,0.001119,0.263581
242,0.001189,0.260404
243,0.000943,0.280017
244,0.001068,0.261353
245,0.001191,0.357704
246,0.001293,0.276070
247,0.001290,0.254198
248,0.001189,0.258066
