requisicaoN,tempoBanco,tempoHTTP
265,0.002444,0.323456
266,0.000868,0.288453
267,0.000541,0.278559
268,0.002907,0.279003
269,0.000538,0.273720
270,0.000441,0.270342
271,0.000463,0.279591
272,0.000446,0.259907
273,0.000586,0.289291
274,0.000449,0.270816
275,0.000443,0.257841
276,0.000459,0.269038
277,0.000406,0.285660
278,0.000471,0.262290
279,0.000451,0.262149
280,0.000469,0.295038
281,0.000535,0.269461
282,0.000468,0.275253
283,0.000461,0.280113
284,0.000431,0.271354
285,0.000626,0.270311
286,0.000503,0.275223
287,0.002204,0.274070
288,0.000432,0.271762
289,0.000511,0.271186
290,0.000510,0.258591
291,0.000446,0.262121
292,0.000498,0.267076
293,0.000495,0.267436
294,0.000447,0.265231
295,0.000471,0.257188
296,0.000456,0.271266
297,0.000468,0.268030
298,0.000441,0.269880
299,0.000481,0.273575
300,0.000477,0.353552
301,0.001687,0.260341
302,0.000526,0.286126
303,0.000473,0.258367
304,0.000531,0.389654
305,0.000487,0.287534
306,0.000438,0.358137
307,0.002273,0.290772
308,0.000622,0.309955
309,0.000500,0.257465
310,0.000539,0.251913
311,0.000443,0.296339
312,0.000448,0.256856
313,0.000656,0.268260
314,0.000494,0.269605
315,0.000463,0.317258
316,0.000485,0.331031
317,0.000601,0.370019
318,0.000424,0.278321
319,0.000472,0.285970
320,0.000523,0.274328
321,0.003771,0.260974
322,0.000526,0.272564
323,0.000495,0.277948
324,0.000517,0.265723
325,0.000517,0.250758
326,0.000547,0.273421
327,0.000502,0.283799
328,0.000414,0.261363
329,0.009556,0.269363
330,0.000484,0.288526
331,0.000390,0.262570
332,0.000453,0.360414
333,0.000460,0.323676
334,0.000453,0.250682
335,0.000457,0.252308
336,0.000446,0.277076
337,0.000775,0.273441
338,0.000449,0.297971
339,0.000462,0.282402
340,0.000473,0.265613
341,0.000460,0.254734
342,0.000447,0.276511
343,0.000558,0.256221
344,0.000430,0.247907
345,0.007332,0.266543
346,0.000496,0.277445
347,0.000448,0.299535
348,0.000438,0.287270
349,0.000441,0.278001
350,0.000474,0.363654
351,0.000597,0.261320
352,0.000436,0.269465
353,0.032047,0.283915
354,0.000476,0.260108
355,0.000413,0.279133
356,0.000501,0.271931
357,0.001599,0.263978
358,0.000460,1.278207
359,0.000461,0.285379
360,0.000433,0.248861
361,0.000457,0.317465
362,0.000455,0.280899
363,0.000472,0.256691
364,0.000457,0.265681
365,0.001277,0.367883
366,0.000389,0.254235
367,0.000435,0.294679
368,0.000424,0.354032
369,0.000514,0.288451
370,0.000405,0.272189
371,0.000444,0.280355
372,0.000463,0.362598
373,0.000452,0.261777
374,0.000441,0.528157
375,0.000493,0.268697
376,0.000449,0.339682
377,0.000405,0.270382
378,0.000455,0.261609
379,0.001025,0.280966
380,0.000390,0.268873
381,0.000486,0.272789
382,0.000454,0.272447
383,0.000427,0.485787
384,0.000432,0.293826
385,0.000453,0.337932
386,0.000540,0.280805
387,0.000493,0.264797
388,0.000491,0.281510
389,0.000469,0.323461
390,0.000425,0.355144
391,0.000438,0.315103
392,0.000510,0.279616
393,0.045424,0.319823
394,0.000460,0.276455
395,0.000462,0.303593
396,0.000476,0.283629
397,0.000426,0.251701
398,0.000439,0.264934
399,0.000616,0.273626
400,0.000446,0.254552
401,0.000693,0.265834
402,0.000449,0.263553
403,0.000460,0.261186
404,0.000536,0.269910
405,0.000541,0.291056
406,0.000477,0.257908
407,0.000424,0.283499
408,0.000417,0.287327
409,0.006336,0.267006
410,0.000618,0.275130
411,0.000469,0.321618
412,0.000453,0.272322
413,0.000525,0.282467
414,0.000454,0.271720
415,0.000470,0.261424
416,0.000483,0.276809
417,0.000493,0.274081
418,0.000483,0.325392
419,0.000449,0.258260
420,0.000476,0.264317
421,0.000576,0.279338
422,0.000406,0.267953
423,0.000456,0.257573
424,0.000545,0.251391
425,0.000518,0.292466
426,0.000549,0.256838
427,0.000448,0.255539
428,0.000433,0.277868
429,0.003987,0.277579
430,0.000518,0.275952
431,0.000438,0.273787
432,0.000465,0.264528
433,0.000482,0.355174
434,0.000497,0.297968
435,0.000477,0.276392
436,0.000481,0.266270
437,0.000685,0.261648
438,0.000492,0.261360
439,0.000460,0.262440
440,0.000506,0.271466
441,0.000581,0.273811
442,0.000475,0.275116
443,0.000466,0.263132
444,0.000458,0.279893
445,0.004841,0.282259
446,0.002332,0.257726
447,0.000452,0.259922
448,0.000521,0.264117
449,0.000526,0.271697
450,0.000516,0.274582
451,0.000415,0.276364
452,0.000455,0.261968
453,0.000484,0.253915
454,0.000577,0.267124
455,0.000482,0.277190
456,0.000503,0.286640
457,0.004317,0.283910
458,0.000485,0.311923
459,0.000490,0.258265
460,0.000490,0.260668
461,0.004683,0.310925
462,0.000433,0.277940
463,0.000525,0.278108
464,0.000450,0.268624
465,0.000674,0.271641
466,0.000459,0.273573
467,0.000450,0.270821
468,0.000438,0.269087
469,0.000532,0.262743
470,0.000486,0.299651
471,0.000484,0.289657
472,0.000691,0.264629
473,0.006083,0.315583
474,0.000544,0.260237
475,0.000660,0.265843
476,0.000468,0.274370
477,0.000486,0.276418
478,0.001687,0.266201
479,0.000506,0.278402
480,0.000470,0.288653
481,0.000422,0.328440
482,0.000433,0.307355
483,0.000426,0.262715
484,0.000439,0.252899
485,0.004056,0.258941
486,0.000509,0.268603
487,0.000470,0.325409
488,0.000411,0.291033
489,0.000666,0.299095
490,0.000514,0.276225
491,0.000504,0.263327
492,0.000545,0.272461
493,0.000532,0.304921
494,0.000522,0.343063
495,0.000684,0.433646
496,0.000445,0.446144
497,0.000542,0.395102
498,0.000521,0.318394
499,0.000515,0.310696
500,0.000505,0.271441
501,0.000592,0.285000
502,0.000529,0.271093
503,0.000529,0.285700
504,0.000501,0.270377
505,0.000546,0.253534
506,0.000491,0.271090
507,0.000478,0.263855
508,0.000450,0.370181
509,0.000465,0.299647
510,0.000529,0.253814
511,0.000521,0.263514
512,0.000507,0.269055
513,0.000587,0.317505
514,0.000548,0.279509
515,0.000462,0.279652
516,0.000475,0.261542
517,0.000458,0.280898
518,0.000459,0.272916
519,0.000445,0.269238
520,0.000844,0.261433
521,0.000523,0.255060
522,0.000462,0.252457
523,0.000459,0.265715
524,0.000474,0.280042
525,0.000456,0.276566
526,0.000455,0.252680
527,0.000446,0.256048
528,0.000682,0.296761
529,0.000876,0.276683
530,0.000432,0.254321
531,0.000444,0.273139
532,0.000494,0.268256
533,0.002928,0.275668
534,0.000546,0.320969
535,0.000465,0.257010
536,0.000446,0.268644
537,0.000742,0.248731
538,0.000448,0.294042
539,0.000473,0.275112
540,0.000507,0.259163
541,0.000582,0.270507
542,0.000492,0.254851
543,0.000518,0.269430
544,0.000453,0.251834
545,0.000491,0.272981
546,0.000547,0.282456
547,0.000386,0.252664
548,0.000472,0.265032
549,0.000572,0.278351
550,0.000491,0.259512
551,0.000673,0.259519
552,0.000551,0.248613
553,0.006055,0.261183
554,0.000491,0.256028
555,0.000447,0.282018
556,0.000470,0.272499
557,0.008212,0.290542
558,0.000454,0.266450
559,0.000551,0.260567
560,0.000754,0.268487
561,0.000618,0.253107
562,0.000526,0.273155
563,0.000484,0.277552
564,0.000534,0.269644
565,0.004331,0.279881
566,0.000870,0.257384
567,0.000471,0.266775
568,0.000418,0.252614
569,0.000446,0.274289
570,0.000443,0.269795
571,0.000475,0.307380
572,0.000525,0.258104
573,0.000823,0.320185
574,0.000477,0.283761
575,0.000486,0.276495
576,0.000449,0.256818
577,0.000482,0.278900
578,0.000449,0.288091
579,0.000472,0.258953
580,0.000460,0.276106
581,0.000576,0.252413
582,0.000515,0.257679
583,0.000513,0.253837
584,0.000432,0.261707
585,0.000970,0.267170
586,0.000458,0.279283
587,0.000469,0.251136
588,0.000483,0.273707
589,0.001051,0.276499
590,0.000550,0.268649
591,0.000389,0.278444
592,0.000461,0.355288
593,0.000402,0.363988
594,0.000478,0.262585
595,0.000468,0.273601
596,0.000452,0.246518
597,0.000458,0.356863
598,0.000455,0.263875
599,0.000482,0.264126
600,0.000432,0.267425
601,0.000569,0.261218
602,0.000514,0.261447
603,0.000421,0.274014
604,0.000564,0.260845
605,0.000481,0.277215
606,0.000464,0.261841
607,0.000451,0.259087
608,0.000547,0.261500
609,0.000503,0.260926
610,0.000654,0.253910
611,0.000450,0.271143
612,0.000440,0.245868
613,0.000533,0.429150
614,0.000552,0.253464
615,0.000441,0.275509
616,0.000461,0.279548
617,0.000482,0.271922
618,0.000479,0.274343
619,0.000600,0.263915
620,0.000730,0.255579
621,0.006256,0.269273
622,0.000462,0.278592
623,0.000600,0.280893
624,0.000466,0.248529
625,0.000461,0.262444
626,0.000465,0.270320
627,0.000486,0.262557
628,0.000478,0.285794
629,0.005733,0.281667
630,0.000840,0.272362
631,0.000452,0.487851
632,0.000457,0.344356
633,0.004680,0.280793
634,0.000536,0.253028
635,0.000506,0.265355
636,0.000491,0.376092
