requisicaoN,tempoBanco,tempoHTTP
265,0.001252,0.267893
266,0.001975,0.270017
267,0.001604,0.257001
268,0.001056,0.257670
269,0.001051,0.280506
270,0.001182,0.381160
271,0.001645,0.323065
272,0.001168,0.252686
273,0.001645,0.281133
274,0.001212,0.256155
275,0.001544,0.273479
276,0.001138,0.265770
277,0.001036,0.250389
278,0.001041,0.310072
279,0.001150,0.275629
280,0.001661,0.274280
281,0.001136,0.261484
282,0.001165,0.253173
283,0.001954,0.356088
284,0.001236,0.265183
285,0.001410,0.256842
286,0.001230,0.292592
287,0.001393,0.282268
288,0.001209,0.274330
289,0.001067,0.254131
290,0.001006,0.281418
291,0.001332,0.247189
292,0.001186,0.265179
293,0.001078,0.251058
294,0.001026,0.270143
295,0.001228,0.274125
296,0.009996,0.266566
297,0.001056,0.383508
298,0.001059,0.242874
299,0.001233,0.358793
300,0.001271,0.254189
301,0.001502,0.270352
302,0.001061,0.256521
303,0.001154,0.269144
304,0.001000,0.280636
305,0.001169,0.373286
306,0.001188,0.269964
307,0.001208,0.376412
308,0.001057,0.325839
309,0.001159,0.278544
310,0.001169,0.283892
311,0.001025,0.277194
312,0.001195,0.257495
313,0.001052,0.306701
314,0.001396,0.262619
315,0.001260,0.256469
316,0.001144,0.254240
317,0.001199,0.284066
318,0.001656,0.261852
319,0.001132,0.268648
320,0.001174,0.246913
321,0.001055,0.273526
322,0.001113,0.276603
323,0.001164,0.272720
324,0.002691,0.253079
325,0.001112,0.328119
326,0.001154,0.259142
327,0.001184,0.254089
328,0.001937,0.267712
329,0.001098,0.248246
330,0.001480,0.251703
331,0.001414,0.271211
332,0.007013,0.369641
333,0.001100,0.247117
334,0.001045,0.277665
335,0.001155,0.248319
336,0.001439,0.269631
337,0.001804,0.250618
338,0.001090,0.302298
339,0.001258,0.283174
340,0.001161,0.243602
341,0.001268,0.268390
342,0.001039,0.253883
343,0.001444,0.265343
344,0.001119,0.275547
345,0.001307,0.271664
346,0.001162,0.267082
347,0.001270,0.276141
348,0.001088,0.275986
349,0.001703,0.264582
350,0.001345,0.246766
351,0.002180,0.270050
352,0.002517,0.295244
353,0.001389,0.278684
354,0.001047,0.280823
355,0.001142,0.315956
356,0.001132,0.257922
357,0.002983,0.246584
358,0.001369,0.271002
359,0.003358,0.355341
360,0.001182,0.277563
361,0.001143,0.253839
362,0.001393,0.290164
363,0.001232,0.367260
364,0.001121,0.250045
365,0.001603,0.271939
366,0.001335,0.267268
367,0.001173,0.274405
368,0.001052,0.260325
369,0.001197,0.252042
370,0.002003,0.272549
371,0.001171,0.249501
372,0.001091,0.265739
373,0.001256,0.271532
374,0.000952,0.263863
375,0.001104,0.266225
376,0.001025,0.284194
377,0.001591,0.265655
378,0.001041,0.309732
379,0.002847,0.254648
380,0.001211,0.255398
381,0.004986,0.262873
382,0.001378,0.260233
383,0.001123,0.267205
384,0.001226,0.265505
385,0.001137,0.287625
386,0.001159,0.267579
387,0.001308,0.277952
388,0.001218,0.367728
389,0.001143,0.255498
390,0.001127,0.281657
391,0.001201,0.290392
392,0.001091,0.256907
393,0.001224,0.270470
394,0.001265,0.276933
395,0.001141,0.276209
396,0.001110,0.284941
397,0.001342,0.280636
398,0.001136,0.256816
399,0.001162,0.267379
400,0.001232,0.301063
401,0.004504,0.271178
402,0.001110,0.291620
403,0.001202,0.260179
404,0.001217,0.341879
405,0.001866,0.271168
406,0.001596,0.271243
407,0.001096,0.262091
408,0.001245,0.371501
409,0.001227,0.261917
410,0.001173,0.251594
411,0.001219,0.252213
412,0.001008,0.290899
413,0.001225,0.267130
414,0.001277,0.273012
415,0.001141,0.267188
416,0.001247,0.247512
417,0.001318,0.276718
418,0.000988,0.348891
419,0.001126,0.261482
420,0.001177,0.361153
421,0.003885,0.328033
422,0.001151,0.266482
423,0.001125,0.272970
424,0.001537,0.263820
425,0.001663,0.292697
426,0.001367,0.270865
427,0.001170,0.277557
428,0.001243,0.260298
429,0.001395,0.426938
430,0.001130,0.270435
431,0.001248,0.375508
432,0.001135,0.277035
433,0.001137,0.349455
434,0.001188,0.331288
435,0.001384,0.277771
436,0.001243,0.256262
437,0.001242,0.339509
438,0.001116,0.259355
439,0.002780,0.314427
440,0.001270,0.266919
441,0.002070,0.256100
442,0.001112,0.257940
443,0.001445,0.255158
444,0.002719,0.277610
445,0.001402,0.271508
446,0.001253,0.321503
447,0.001248,0.273859
448,0.001339,0.260697
449,0.001140,0.281419
450,0.001265,0.265310
451,0.001647,0.283254
452,0.001322,0.254075
