requisicaoN,tempoBanco,tempoHTTP
1,0.000542,0.274206
2,0.000400,0.274433
3,0.000460,0.277201
4,0.000506,0.371876
5,0.000524,0.291407
6,0.000540,0.283599
7,0.000605,0.264316
8,0.000485,0.283742
9,0.000680,0.285892
10,0.000498,0.282941
11,0.000635,0.259198
12,0.000513,0.261500
13,0.000438,0.272191
14,0.000571,0.265593
15,0.000409,0.258550
16,0.000427,0.282091
17,0.000421,0.267680
18,0.000457,0.280716
19,0.000441,0.265855
20,0.000668,0.268506
21,0.000453,0.265323
22,0.000558,0.249805
23,0.000452,0.275045
24,0.000471,0.270251
25,0.000495,0.354530
26,0.000389,0.265710
27,0.000569,0.268887
28,0.000464,0.277378
29,0.000589,0.267164
30,0.000502,0.296833
31,0.000456,0.253212
32,0.000450,0.271767
33,0.000403,0.260505
34,0.000428,0.263809
35,0.000426,0.252375
36,0.000585,0.308390
37,0.000445,0.268721
38,0.000444,0.265557
39,0.000434,0.254180
40,0.000509,0.279782
41,0.000444,0.247527
42,0.000428,0.277589
43,0.000419,0.263644
44,0.000471,0.360962
45,0.000396,0.268536
46,0.000472,0.254033
47,0.000462,0.300999
48,0.000438,0.356295
49,0.000376,0.250373
50,0.000463,0.277289
51,0.000432,0.259996
52,0.000580,0.270838
53,0.000395,0.267172
54,0.000440,0.269611
55,0.000402,0.271938
56,0.000445,0.350351
57,0.000380,0.269639
58,0.000434,0.246322
59,0.000422,0.250731
60,0.000472,0.259984
61,0.000440,0.306001
62,0.000452,0.296514
63,0.000455,0.271887
64,0.000440,0.252922
65,0.000439,0.283235
66,0.000440,0.264005
67,0.000594,0.303570
68,0.000455,0.271212
69,0.000540,0.255976
70,0.000424,0.257512
71,0.000409,0.282581
72,0.000447,0.367265
73,0.000453,0.248848
74,0.000383,0.259146
75,0.000399,0.277648
76,0.000438,0.271540
77,0.000425,0.298408
78,0.000414,0.248367
79,0.000415,0.256630
80,0.000602,0.276444
81,0.000387,0.281418
82,0.000416,0.269969
83,0.000473,0.262102
84,0.002017,0.262611
85,0.000468,0.285452
86,0.000430,0.280596
87,0.000483,0.273323
88,0.000463,0.283087
89,0.000412,0.283212
90,0.000636,0.263621
91,0.000419,0.248882
92,0.000422,0.274617
93,0.000608,0.296144
94,0.000417,0.270278
95,0.000465,0.266707
96,0.000386,0.278447
97,0.000451,0.283226
98,0.000547,0.273860
99,0.000451,0.285138
100,0.000546,0.268889
101,0.000519,0.257673
102,0.000465,0.254470
103,0.000455,0.355701
104,0.000460,0.274173
105,0.000503,0.262459
106,0.000603,0.278976
107,0.000481,0.261076
108,0.000447,0.295437
109,0.000482,0.272604
110,0.000414,0.277753
111,0.000449,0.265739
112,0.000443,0.279285
113,0.000397,0.275061
114,0.000380,0.273630
115,0.000440,0.251487
116,0.000383,0.300319
117,0.000456,0.268931
118,0.000465,0.269085
119,0.000516,0.252926
120,0.000459,0.268411
121,0.000562,0.260754
122,0.000472,0.269905
123,0.000479,0.283091
124,0.000529,0.257544
125,0.000506,0.279589
126,0.000549,0.257025
127,0.000512,0.282873
128,0.000501,0.263341
129,0.000482,0.296411
130,0.000547,0.280605
131,0.000720,0.291879
132,0.004620,0.286083
133,0.000455,0.294269
134,0.000441,0.284750
135,0.000495,0.283411
136,0.000479,0.352010
137,0.000476,0.283203
138,0.000636,0.280561
139,0.000422,0.253504
140,0.000431,0.305487
141,0.000471,0.344310
142,0.000529,0.259427
143,0.000451,0.272435
144,0.000434,0.284754
145,0.000490,0.270482
146,0.000437,0.255211
147,0.000461,0.257895
