requisicaoN,tempoBanco,tempoHTTP
1,0.001660,0.282866
2,0.001991,0.259735
3,0.001696,0.281975
4,0.001279,0.307606
5,0.001418,0.262612
6,0.001238,0.254918
7,0.001061,0.254705
8,0.001168,0.268457
9,0.001131,0.323684
10,0.001295,0.270910
11,0.002466,0.256614
12,0.001308,0.266325
13,0.001931,0.245383
14,0.002310,0.252687
15,0.001078,0.250014
16,0.002003,0.278785
17,0.002421,0.264230
18,0.002094,0.252263
19,0.001078,0.248732
20,0.001192,0.248527
21,0.001969,0.355325
22,0.004657,0.251674
23,0.001883,0.246443
24,0.001487,0.261779
25,0.001261,0.271111
26,0.001419,0.263056
27,0.001315,0.263351
28,0.001277,0.349097
29,0.001269,0.317376
30,0.006301,0.274199
31,0.001116,0.260219
32,0.001241,0.281623
33,0.001241,0.273518
34,0.001559,0.278211
35,0.001211,0.300328
36,0.001656,0.271091
37,0.001356,0.286679
38,0.001238,0.280931
39,0.001322,0.268242
40,0.002501,0.278303
41,0.001155,0.256738
42,0.002227,0.262252
43,0.002056,0.273601
44,0.001263,0.268293
45,0.001393,0.251728
46,0.001401,0.273380
47,0.002833,0.270102
48,0.002501,0.274274
49,0.001239,0.258478
50,0.004533,0.247839
51,0.001269,0.269229
52,0.001337,0.278202
53,0.001279,0.255904
54,0.001573,0.301733
55,0.001250,0.253177
56,0.001153,0.268395
57,0.001313,0.292761
58,0.001275,0.286634
59,0.001498,0.251261
60,0.001137,0.298179
61,0.001208,0.263418
62,0.001834,0.270411
63,0.001107,0.256434
64,0.001757,0.274543
65,0.001385,0.258566
66,0.001778,0.276633
67,0.001656,0.267849
68,0.002139,0.290285
69,0.001246,0.284910
70,0.001830,0.249526
71,0.001248,0.312261
72,0.002260,0.260564
73,0.001403,0.270580
74,0.001380,0.258433
75,0.001042,0.344576
76,0.001154,0.256699
77,0.001297,0.270693
78,0.001111,0.274802
79,0.001136,0.269637
80,0.003959,0.260784
81,0.001294,0.270426
82,0.001280,0.245258
83,0.001269,0.259961
84,0.001172,0.266178
85,0.001232,0.244998
86,0.001555,0.269592
87,0.002215,0.272030
88,0.001273,0.256116
89,0.001232,0.274284
90,0.001203,0.273419
91,0.001297,0.266592
92,0.001096,0.249729
93,0.001232,0.250442
94,0.001611,0.275952
95,0.001295,0.269898
96,0.001304,0.272003
97,0.005717,0.262952
98,0.004753,0.247795
99,0.001655,0.276748
100,0.001229,0.243955
101,0.001267,0.267562
102,0.001013,0.357930
103,0.001191,0.260020
104,0.010163,0.287428
105,0.001308,0.274580
106,0.001218,0.253750
107,0.001164,0.272893
108,0.002317,0.278155
109,0.001317,0.268890
110,0.002532,0.259796
111,0.002405,0.273312
112,0.001269,0.265869
113,0.001116,0.254368
114,0.002789,0.258143
115,0.002143,0.267345
116,0.002367,0.250495
117,0.001381,0.255480
118,0.001196,0.263397
119,0.001172,0.299994
120,0.001121,0.269551
121,0.001239,0.280484
122,0.001307,0.246963
123,0.000931,0.268055
124,0.001062,0.271634
125,0.001404,0.269885
126,0.001110,0.256418
127,0.001121,0.244956
128,0.001225,0.255837
129,0.001262,0.279092
130,0.001815,0.295431
131,0.001287,0.333095
132,0.001246,0.275846
133,0.001325,0.271298
134,0.001266,0.265983
135,0.001312,0.249806
136,0.001306,0.252595
137,0.001392,0.275373
138,0.001628,0.249423
139,0.001111,0.280290
140,0.001037,0.254668
141,0.002304,0.277846
142,0.001187,0.254978
143,0.003693,0.846653
144,0.001102,0.275806
145,0.001214,0.270502
146,0.001266,0.250158
147,0.001255,0.353523
148,0.001381,0.254811
149,0.001295,0.439330
150,0.001332,0.251655
151,0.001152,0.273740
152,0.001381,1.369212
153,0.001279,0.259367
154,0.001093,0.284490
155,0.001252,0.271323
156,0.002145,0.267659
157,0.002333,0.358375
158,0.006293,0.273314
159,0.001726,0.258430
160,0.001365,0.281873
161,0.001255,0.253713
162,0.001133,0.250216
163,0.001150,0.252114
164,0.001235,0.252283
165,0.001296,0.250898
166,0.002160,0.272844
167,0.001166,0.264514
168,0.001211,0.254177
169,0.001290,0.267949
170,0.001180,0.269670
171,0.001154,0.269934
172,0.001245,0.263702
